PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2012,2633,23 Pares,Albertina Carri,Programa Televisivo,6/9/2012,06/09/2012,CONESA 4358,CONESA,4358,SAAVEDRA,COMUNA 12,1429,C1429AMD,"-5,847,714,676","-3,454,592,077"
2012,2730,23 Pares,Albertina Carri,Programa Televisivo,2/10/2012,02/10/2012,CORDOBA AV. 6234,CORDOBA AV.,6234,CHACARITA,COMUNA 15,1427,C1427BZP,"-5,844,811,245","-3,458,318,184"
2013,37,Wathergame,Películas Cortitas Sa,Cine Publicitario,12/12/2013,12/12/2013,14 DE JULIO 1165,14 DE JULIO,1165,VILLA ORTÚZAR,COMUNA 15,1427,C1427CJW,"-5,846,179,075","-3,458,004,684"
2011,38,Morhp Disco,Fight By Flehner Sa,Cine Publicitario,17/5/2011,17/05/2011,14 DE JULIO 1332,14 DE JULIO,1332,VILLA ORTÚZAR,COMUNA 15,1427,C1427CKB,"-5,846,233,822","-3,457,769,092"
2012,39,Tesis Sobre Un Homicidio,Bdcine Srl,Largometraje Nacional,26/4/2012,26/04/2012,14 DE JULIO 1597,14 DE JULIO,1597,VILLA ORTÚZAR,COMUNA 15,1430,C1430ENA,"-5,846,518,355","-3,457,451,089"
2012,4680,23 Pares,Albertina Carri,Programa Televisivo,29/7/2012,29/07/2012,"FREIRE, RAMON, CAP. GRAL. 4584","FREIRE, RAMON, CAP. GRAL.",4584,SAAVEDRA,COMUNA 12,1429,C1429ATH,"-5,848,194,365","-3,454,559,566"
2012,5112,23 Pares,Albertina Carri,Programa Televisivo,28/8/2012,28/08/2012,GUARDIA VIEJA 3334,GUARDIA VIEJA,3334,BALVANERA,COMUNA 3,1192,C1192AAB,"-584,119,563","-3,460,278,538"
2012,5113,23 Pares,Albertina Carri,Programa Televisivo,4/9/2012,04/09/2012,GUARDIA VIEJA 3334,GUARDIA VIEJA,3334,BALVANERA,COMUNA 3,1192,C1192AAB,"-584,119,563","-3,460,278,538"
2012,5604,23 Pares,Albertina Carri,Programa Televisivo,11/9/2012,11/09/2012,IBERA 3101,IBERA,3101,COGHLAN,COMUNA 12,1429,C1429CMW,"-5,847,099,744","-3,455,704,059"
2013,44,La Parte Ausente,Ajimolido Films Srl,Largometraje Con I.N.C.A.A.,24/7/2013,24/07/2013,15 DE NOVIEMBRE DE 1889 1101,15 DE NOVIEMBRE DE 1889,1101,CONSTITUCIÓN,COMUNA 1,1130,C1130ABA,"-5,838,145,928","-3,463,070,656"
2012,45,Practica Fotografía 2,Enerc,Estudiantes,18/10/2012,18/10/2012,15 DE NOVIEMBRE DE 1889 1850,15 DE NOVIEMBRE DE 1889,1850,PARQUE PATRICIOS,COMUNA 4,1261,C1261AAB,"-5,839,110,661","-3,463,168,128"
2013,46,Coca Cola Zero,Goodgate Sa,Cine Publicitario,16/12/2013,16/12/2013,15 DE NOVIEMBRE DE 1889 2301,15 DE NOVIEMBRE DE 1889,2301,PARQUE PATRICIOS,COMUNA 4,1261,C1261AAK,"-5,839,580,713","-3,463,273,928"
2014,47,Refugiado,Campo Cine S.R.L.,Largometraje Con I.N.C.A.A.,3/2/2014,03/02/2014,2 DE ABRIL DE 1982 6800,2 DE ABRIL DE 1982,6800,VILLA LUGANO,COMUNA 8,1439,C1439HWH,"-584,923,155","-3,467,892,263"
2014,48,Refugiado,Campo Cine S.R.L.,Largometraje Con I.N.C.A.A.,28/2/2014,28/02/2014,2 DE ABRIL DE 1982 6800,2 DE ABRIL DE 1982,6800,VILLA LUGANO,COMUNA 8,1439,C1439HWH,"-584,923,155","-3,467,892,263"
2015,49,Tarjeta Naramja Copa América,Nunchaku Cine Srl,Cine Publicitario,22/5/2015,22/05/2015,2 DE ABRIL DE 1982 6800,2 DE ABRIL DE 1982,6800,VILLA LUGANO,COMUNA 8,1439,C1439HWH,"-584,923,155","-3,467,892,263"
